id,date,city,venue,category,title,time,ticketUrl,cost
"189","2020-08-07","Anchorage","Dirty Skillet (Hope)","music","Matt Hopper","6p-10p","",""
"190","2020-08-07","Anchorage","House of Harley Davidson","music","Spenard Bike Rally w/ Danger Money","6p-10p","",""
"191","2020-08-07","Anchorage","Floaters","music","Tripwire","7:30p-11:30p","",""
"192","2020-08-07","Anchorage","Matanuska Brewing Eagle River","music","Ken Peltier","7p-10p","",""
"193","2020-08-07","Anchorage","Palmer Alehouse (Palmer)","music","Nothin But Trouble","7p-10p","",""
"194","2020-08-07","Anchorage","Eagle River Town Square Park","music","Alaska Jumping Flea Society","7p-9p","",""
"195","2020-08-07","Anchorage","Flattop & Williwaw F Street Patio","music","The Eternal Cowboys","8:30p-10p","",""
"196","2020-08-07","Anchorage","Koots","music","Live 𝚂𝚝𝚛𝚎𝚊𝚖𝚒𝚗𝚐 Zero Miles to Empty","8p-11p","",""
"197","2020-08-08","Anchorage","Wood & Wire Guitars & Music","festival","Music And Instrument Fair","11a-5p","",""
"198","2020-08-08","Anchorage","Sofia’s Café (Palmer)","music","Lunch Music with Lizzie Angaiak","12p-2p","",""
"199","2020-08-08","Anchorage","Matanuska Brewing Eagle River","music","Hobo Jim","7p-10p","",""
"200","2020-08-08","Anchorage","Palmer Alehouse","music","Nervis Rex","7p-10p","",""
"201","2020-08-09","Anchorage","106.1 FM Out North Radio","music","Beat Roots Alaska: Summer w/ Gekkota","3p-5p","",""
"202","2020-08-10","Anchorage","Anchorage Downtown Partnership","music","Virtual Music for Little Ones","12p-1p","",""
"203","2020-08-11","Anchorage","Anchorage Downtown Partnership","music","Zumba in Town Square w/ Anchorage Downtown partnership","12p-1a","",""
"204","2020-08-11","Anchorage","Pubhouse","music","Free Live Music","6p-9p","",""
"205","2020-08-11","Anchorage","Boobs’ Living Room in Spenard","music","The Eternal Cowboys: Live, Laugh, Livestream","7p-10p","",""
"206","2020-08-12","Anchorage","Anchorage Downtown Partnership","music","Virtual Music in the Park","12p-1p","",""
"207","2020-08-12","Anchorage","The Schwabenhof (Wasilla)","music","Open Mic, Every Wednesday!","7:30p-11:30p","",""
"208","2020-08-12","Anchorage","International Hotel and Bar (Fairbanks)","music","Open Mic at The Big I","7:30p-1a","",""
"209","2020-08-12","Anchorage","The Writer’s Block Bookstore & Café","music","Tim Easton Live","7p-9p","",""
"210","2020-10-22","Anchorage","Palmer Alehouse","music","JD Cox Live","6:30p-9:30p","",""
"211","2020-10-22","Anchorage","Williwaw","music","Throwback Thursdays w/ Joe Brady","8p-11p","",""
"212","2020-10-23","Anchorage","Virtual Dance","music","Disney's Descendants","","",""
"213","2020-10-23","Anchorage","Williwaw","music","Stranger Things Upside Down 80s Night with DJ Joe Brady","10:30p-1:30a","",""
"214","2020-10-23","Anchorage","Four Corners Lounge (Palmer)","music","Cole Hard Country Band","10p-2a","",""
"215","2020-10-23","Anchorage","Klondike Mike’s and the Main Street Grill (Palmer)","music","Danger Money Live","10p-2a","",""
"216","2020-10-23","Anchorage","Arctic Fox (Fairbanks)","music","Halloween Fun w/ Marc Brown and the Blues Crew","10p-3a","",""
"217","2020-10-23","Anchorage","Tony’s Sports Bar (Fairbanks)","music","DJ Manny’s LOVE BITES || Ladies Night","10p-3a","",""
"218","2020-10-23","Anchorage","The Schwabenhof (Wasilla)","comedy","Playhouse Live Comedy & Music 7:","30p","",""
"219","2020-10-23","Anchorage","The Arc of Anchorage","dance","Virtual Dance - Disney's Descendants","5p-7p","",""
"220","2020-10-23","Anchorage","Everett’s (Wasilla)","music","October Live Music w/ JD Cox and Tim Hall","6:30p-9:30p","",""
"221","2020-10-23","Anchorage","DJ KDean","theatre","Facebook Live: Friday Night Free Play V9.0","6p-9p","",""
"222","2020-10-23","Anchorage","The Alaska Zoo","music","Arctic Entries at the Zoo (Drive-In)","7p-9p","",""
"223","2020-10-23","Anchorage","The Drift Gallery Dance Studio","music","Sinister Suites 6p-6:30p, 6:45p-7:17p, 7:30p-8p","8:15p-8:45p","",""
"224","2020-10-24","Anchorage","Tony’s Sports Bar (Fairbanks)","theatre","DJ MANNY: I Want To Play A Game. . .","10p-3a","",""
"225","2020-10-24","Anchorage","William B Lions Park","music","""Bar-B-Que's in the Views"" Free Food & Rides to the Polls","12p-4p","",""
"226","2020-10-24","Anchorage","Everett’s (Wasilla)","music","October Live Music w/ Tyson Cole","6:30p-9:30p","",""
"227","2020-10-24","Anchorage","Floaters (Big Lake)","music","Avoiding Reality Band","7:30p-12a","",""
"228","2020-10-24","Anchorage","Triumvirate Theatre (Facebook Live)","music","Best of Lame Ducks and Dark Horses Retrospective","7p-8p","",""
"229","2020-10-24","Anchorage","Koot’s","music","Huycke Entertainment presents Viva Spenard v2","8p-11p","",""
"230","2020-10-24","Anchorage","Williwaw","festival","Fall Fun Fest w/ The Eternal Cowboys & DJ Fan Service","8p-2a","",""
"231","2020-10-25","Anchorage","KONR 106.1FM Out North Radio","music","Beats Roots: Hallow Beat Treat w/ Glen Ghoul","3p-5p","",""
"232","2020-10-25","Anchorage","Everett’s (Wasilla)","music","October Live Music w/ Diana Z","6:30p-9:30p","",""
"233","2020-10-25","Anchorage","The Drift Gallery Dance Studio","music","Sinister Suites 5p-5:30p, 5:45p-6:15p. 6:30p-7p","7:15p-7:45p","",""
"234","2020-10-26","Anchorage","Fairbanks North Star Borough Public Libraries","community","Mother Moose Storytime","10:30a-11a","",""
"235","2020-10-26","Anchorage","New Music Mondays with Davey Bones","music","NMM Episode 12 feat Cliff & Ivy","6p-8:30p","",""
"236","2020-10-26","Anchorage","Red Carpet Entertainment","dance","DJ Chester Chomp’s Zoom Room Dance Party!","7p-7:40p","",""
"237","2020-10-26","Anchorage","Van’s Dive Bar","music","Mundane Mondays* w/Daysha *Unplugged","9p-12a","",""
"238","2020-10-27","Anchorage","Anchorage Town Square","music","Zumba with Anchorage Downtown Partnership","12p-1p","",""
"239","2020-10-27","Anchorage","American Legion Spenard Post 28","music","Acoustic Song Circle and Open non-Mic 6:30p–9:","30p","",""
"240","2020-10-27","Anchorage","Pubhouse","music","Puppy Yoga to Benefit Breast Cancer Awareness","6p-7p","",""
"241","2020-10-27","Anchorage","Boobs’ Living Room in Spenard","music","The Eternal Cowboys: Live, Laugh, Livestream","7p-10p","",""
"242","2020-10-28","Anchorage","Fairbanks North Star Borough Public Libraries","community","Parents and Twos Storytime","10:30a-11a","",""
"243","2020-10-28","Anchorage","The Schwabenhof (Wasilla)","music","Open Mic, Every Wednesday! 7:","30p","",""
"244","2020-10-28","Anchorage","Kangoo Club Alaska","music","Halloween Hop","6:30p-8p","",""
"245","2020-10-28","Anchorage","Casccadelic","music","Open Mic","6p-9p","",""
"246","2020-10-28","Anchorage","The Duck Inn (Soldotna)","music","Hot Mess","7p-10p","",""
"247","2020-10-28","Anchorage","Koot’s","comedy","Comedy Open Mic at Koot's","8:30p-10p","",""
"248","2020-11-25","Anchorage","Fairbanks North Star Borough Public Libraries","community","Parents and Twos Storytime","10:30a-11a","",""
"249","2020-11-25","Anchorage","Koot’s","music","Open Decks","10p-2a","",""
"250","2020-11-25","Anchorage","The Schwabenhof (Wasilla)","music","Open Mic, Every Wednesday! 7:","30p","",""
"251","2020-11-25","Anchorage","Cascadelic","music","Open Mic","6p-9p","",""
"252","2020-11-25","Anchorage","Williwaw","music","Friendsgiving with Lloyds Noize","7p-12a","",""
"253","2020-11-26","Anchorage","UAF Department of Music (Online Event)","music","Music at One Thanksgiving!","1p-3p","",""
"254","2020-11-26","Anchorage","Williwaw","music","Arcade Night with DJ Joe Brady","7p-11p","",""
